"Name"	"coefficients"	"df.residual"	"sigma"	"stdev.unscaled"	"Amean"	"s2.post"	"t"	"p.value"	"lods"	"F"	"F.p.value"
"RPL11"	2.6395529912	1189	0.4857149751	0.1314473217	12.0690293363	0.2355779696	41.3724563604	"1.03808485308779e-232"	522.2460129697	1711.6801452952	"1.03808485308767e-232"
"ARF3"	0.9800733932	1189	0.4073277983	0.1314473217	10.4753003135	0.165755675	18.3135548934	"3.29800098235874e-66"	139.2938877072	335.3862928333	"3.29800098235874e-66"
"RPL21"	2.1448315952	1189	0.4655829453	0.1314473217	12.4270523245	0.2164758771	35.0700756819	"1.02212529330178e-185"	414.1155861663	1229.9102083352	"1.02212529330172e-185"
"RPL24"	2.9437252503	1189	0.3898415224	0.1314473217	12.1060977957	0.1518521559	57.4691866224	0	782.5776869061	3302.7074110443	0
"HNRNPC"	1.4135579736	1189	0.4201790656	0.1314473217	10.3690135951	0.1763627196	25.6069875038	"1.35637523984757e-115"	252.8044950077	655.7178090216	"1.35637523984757e-115"
"SEPT2"	0.873340081	1189	0.3683734251	0.1314473217	10.8919742062	0.1356167658	18.0415962312	"1.60064079087131e-64"	135.4218963588	325.4991945706	"1.60064079087131e-64"
"HNRNPA1"	1.8291782519	1189	0.4255029044	0.1314473217	12.2422722494	0.1808533655	32.7220866425	"4.18669853041431e-168"	373.5931942297	1070.7349542362	"4.18669853041431e-168"
"RPS27A"	1.4971057575	1189	0.350439111	0.1314473217	11.9722656286	0.1227586525	32.5068346941	"1.71624051393424e-166"	369.8828440021	1056.6943018309	"1.71624051393424e-166"
"RPS13"	2.0565875497	1189	0.3617498297	0.1314473217	12.6300146615	0.1307932155	43.26162738	"1.36075991974437e-246"	554.1900223722	1871.5684035697	"1.36075991974437e-246"
"FAU"	2.6196667322	1189	0.3592288868	0.1314473217	12.0844316234	0.1289803637	55.4922717947	0	752.2207364433	3079.3922289401	0
"TARDBP"	0.8038676309	1189	0.4521371213	0.1314473217	10.0694114646	0.2041682456	13.5343904603	"6.27129077296171e-39"	76.7055046906	183.179725132	"6.27129077296171e-39"
"CFL1"	2.6196743513	1189	0.3129497143	0.1314473217	13.1012018155	0.0979528411	63.6776529925	0	874.7329402638	4054.8434906272	0
"RPL18"	2.9803139573	1189	0.4408159726	0.1314473217	12.2535705546	0.1940851015	51.4652605349	"3.88925559760081e-305"	688.8966551288	2648.673041923	"3.88925559760081e-305"
"EIF3F"	1.9653118096	1189	0.4375188412	0.1314473217	10.9443466912	0.1911965961	34.1931919503	"3.88197195075864e-179"	398.9770932867	1169.1743757525	"3.88197195075864e-179"
"RPS5"	2.2246692234	1189	0.5222256272	0.1314473217	12.2571966831	0.2722834881	32.434189698	"6.00773415558217e-166"	368.6309660437	1051.9766613665	"6.00773415558217e-166"
"RPL27"	1.689787593	1189	0.3605847165	0.1314473217	12.695986878	0.1299537877	35.6603748861	"3.8162122372369e-190"	424.3035939643	1271.6623370178	"3.8162122372369e-190"
"RPL34"	1.9607968639	1189	0.4531524345	0.1314473217	12.4192655577	0.205085024	32.9392637901	"9.86699044944225e-170"	377.3380390829	1084.9950990355	"9.86699044944225e-170"
"NARS"	1.3835456001	1189	0.4795825602	0.1314473217	10.7457367406	0.2296736541	21.9627210737	"4.77233663094428e-90"	194.0694073339	482.3611169596	"4.77233663094428e-90"
"STARD7"	1.322445665	1189	0.4166204666	0.1314473217	10.6956698468	0.1733925769	24.1607741304	"2.7129953675653e-105"	229.117366406	583.7430065821	"2.7129953675653e-105"
